Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LifeCharger,Chrome 86.0.4240.198,,,2020-11-12 19:07:14,2020-11-12 19:07:35,"20,952s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-12 19:07:14,2020-11-12 19:07:26,"11,583s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-12 19:07:14,2020-11-12 19:07:20,"5,863s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-12 19:07:20,2020-11-12 19:07:23,"3,025s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), username)",Chrome 86.0.4240.198,,,2020-11-12 19:07:23,2020-11-12 19:07:25,"1,441s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-12 19:07:25,2020-11-12 19:07:25,"0,002s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-12 19:07:25,2020-11-12 19:07:25,"0,292s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-12 19:07:25,2020-11-12 19:07:26,"0,536s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-12 19:07:26,2020-11-12 19:07:26,"0,133s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-12 19:07:26,2020-11-12 19:07:35,"9,039s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-12 19:07:26,2020-11-12 19:07:30,"4,040s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-12 19:07:30,2020-11-12 19:07:32,"2,559s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), username)",Chrome 86.0.4240.198,,,2020-11-12 19:07:32,2020-11-12 19:07:34,"1,514s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-12 19:07:34,2020-11-12 19:07:34,"0,001s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-12 19:07:34,2020-11-12 19:07:34,"0,267s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-12 19:07:34,2020-11-12 19:07:35,"0,542s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-12 19:07:35,2020-11-12 19:07:35,"0,104s",PASSED
