Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LifeCharger,Chrome 86.0.4240.193,,,2020-11-11 18:36:50,2020-11-11 18:37:15,"24,993s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.193,This TC aims to test lifecharger website,,2020-11-11 18:36:50,2020-11-11 18:37:15,"24,748s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.193,,,2020-11-11 18:36:50,2020-11-11 18:37:07,"16,583s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.193,,,2020-11-11 18:37:07,2020-11-11 18:37:13,"6,154s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), ""life"")",Chrome 86.0.4240.193,,,2020-11-11 18:37:13,2020-11-11 18:37:14,"1,364s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.193,,,2020-11-11 18:37:14,2020-11-11 18:37:14,"0,001s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.193,,,2020-11-11 18:37:14,2020-11-11 18:37:15,"0,279s",PASSED
closeBrowser(),Chrome 86.0.4240.193,,,2020-11-11 18:37:15,2020-11-11 18:37:15,"0,124s",PASSED
