Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LifeCharger,Chrome 86.0.4240.198,,,2020-11-17 12:16:12,2020-11-17 12:16:54,"42,639s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-17 12:16:12,2020-11-17 12:16:35,"22,735s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-17 12:16:12,2020-11-17 12:16:19,"7,043s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-17 12:16:19,2020-11-17 12:16:23,"3,314s",PASSED
"for ([numRow = 1, numRow <= findTestData(""myData/testData"").getRowNumbers(), (numRow++)])",Chrome 86.0.4240.198,,,2020-11-17 12:16:23,2020-11-17 12:16:31,"8,045s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-17 12:16:31,2020-11-17 12:16:31,"0,003s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-17 12:16:31,2020-11-17 12:16:31,"0,273s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-17 12:16:31,2020-11-17 12:16:32,"0,567s",PASSED
delay(3),Chrome 86.0.4240.198,,,2020-11-17 12:16:32,2020-11-17 12:16:35,"3,024s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-17 12:16:35,2020-11-17 12:16:35,"0,115s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-17 12:16:35,2020-11-17 12:16:54,"19,580s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-17 12:16:35,2020-11-17 12:16:40,"4,723s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-17 12:16:40,2020-11-17 12:16:42,"2,672s",PASSED
"for ([numRow = 1, numRow <= findTestData(""myData/testData"").getRowNumbers(), (numRow++)])",Chrome 86.0.4240.198,,,2020-11-17 12:16:42,2020-11-17 12:16:50,"8,040s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-17 12:16:50,2020-11-17 12:16:50,"0,000s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-17 12:16:50,2020-11-17 12:16:51,"0,268s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-17 12:16:51,2020-11-17 12:16:51,"0,566s",PASSED
delay(3),Chrome 86.0.4240.198,,,2020-11-17 12:16:51,2020-11-17 12:16:54,"3,006s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-17 12:16:54,2020-11-17 12:16:54,"0,111s",PASSED
