Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_LifeCharger,Chrome 86.0.4240.198,,,2020-11-12 19:27:06,2020-11-12 19:27:34,"28,046s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-12 19:27:06,2020-11-12 19:27:21,"15,014s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-12 19:27:06,2020-11-12 19:27:12,"6,327s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-12 19:27:12,2020-11-12 19:27:15,"2,813s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), username)",Chrome 86.0.4240.198,,,2020-11-12 19:27:15,2020-11-12 19:27:17,"1,440s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-12 19:27:17,2020-11-12 19:27:17,"0,001s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-12 19:27:17,2020-11-12 19:27:17,"0,495s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-12 19:27:17,2020-11-12 19:27:18,"0,549s",PASSED
delay(3),Chrome 86.0.4240.198,,,2020-11-12 19:27:18,2020-11-12 19:27:21,"3,024s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-12 19:27:21,2020-11-12 19:27:21,"0,121s",PASSED
,,,,,,,
Test Cases/TC_LifeCharger,Chrome 86.0.4240.198,This TC aims to test lifecharger website,,2020-11-12 19:27:21,2020-11-12 19:27:34,"12,763s",PASSED
"openBrowser(""https://lifecharger.org"")",Chrome 86.0.4240.198,,,2020-11-12 19:27:21,2020-11-12 19:27:25,"4,256s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Stretch Zone  Why Nobody talks about this""))",Chrome 86.0.4240.198,,,2020-11-12 19:27:25,2020-11-12 19:27:28,"2,948s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), username)",Chrome 86.0.4240.198,,,2020-11-12 19:27:28,2020-11-12 19:27:29,"1,422s",PASSED
"click(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/button_Search for_search-submit""))",Chrome 86.0.4240.198,,,2020-11-12 19:27:29,2020-11-12 19:27:29,"0,001s",NOT_RUN
"verifyElementPresent(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/a_Home""), 0)",Chrome 86.0.4240.198,,,2020-11-12 19:27:29,2020-11-12 19:27:30,"0,474s",PASSED
"setText(findTestObject(""Object Repository/LifeChargerOR/Page_Life Charger   a new beginning/input_Search for_s""), password)",Chrome 86.0.4240.198,,,2020-11-12 19:27:30,2020-11-12 19:27:30,"0,540s",PASSED
delay(3),Chrome 86.0.4240.198,,,2020-11-12 19:27:30,2020-11-12 19:27:33,"3,007s",PASSED
closeBrowser(),Chrome 86.0.4240.198,,,2020-11-12 19:27:33,2020-11-12 19:27:34,"0,107s",PASSED
